feature,rank,other_feature,corr
P_PHARYNGEALS,2,INV_CONT_VD_VLESS,0.1875
P_PHARYNGEALS,3,P_FRICATIVES,0.1875
P_PHARYNGEALS,4,P_BILABIALS,0.1875
P_PHARYNGEALS,5,S_COMITATIVE_VS_INSTRUMENTAL_MARK,0.1875
P_COMPLEX_ONSETS,1,S_PARTICLE_AND_VERBAL_POLAR,0.1875
P_COMPLEX_ONSETS,2,S_ADJOINED_RELATIVE,0.1875
P_COMPLEX_ONSETS,3,S_ERGATIVE_ALIGNMENT_FLAGGING,0.1875
P_COMPLEX_ONSETS,4,INV_VOWEL_HEIGHT_2,0.1875
P_COMPLEX_ONSETS,5,M_2ND_PERSON_GENDER_DIST,0.1875
P_TONE,1,S_TAM_MARK,0.1875
P_TONE,2,S_TAM,0.1875
P_TONE,3,S_WANT_COMPLEMENT_IMPLICIT_SUBJECT,0.1875
P_TONE,4,S_SVRT,0.1875
P_TONE,5,M_COMP_STAN_MARK,0.1875
INV_OPEN_FRONT_UNROUNDED_VOWEL,1,P_PHARYNGEALS,0.1875
INV_OPEN_FRONT_UNROUNDED_VOWEL,2,INV_CLOSE_CLOSE_MID_HIGH_FRONT_ROUNDED_VOWEL,0.14802631735801697
INV_OPEN_FRONT_UNROUNDED_VOWEL,3,P_TONE,0.140625
INV_OPEN_FRONT_UNROUNDED_VOWEL,4,INV_VOICED_VELAR_IMPLOSIVE,0.12980769574642181
INV_OPEN_FRONT_UNROUNDED_VOWEL,5,INV_UVULAR_TRILL,0.12228260934352875
INV_VOICED_BILABIAL_PLOSIVE,1,P_CLICKS,0.11249999701976776
INV_VOICED_BILABIAL_PLOSIVE,2,INV_VOICED_RETROFLEX_PLOSIVE,0.1041666641831398
INV_VOICED_BILABIAL_PLOSIVE,3,INV_LABIODENTAL_NASAL,0.10227272659540176
INV_VOICED_BILABIAL_PLOSIVE,4,INV_PLACE_LABIAL,0.10227272659540176
INV_VOICED_BILABIAL_PLOSIVE,5,INV_VOICED_ALVEOPALATAL_FRICATIVE,0.10227272659540176
INV_VOICED_BILABIAL_PLOSIVE_WITH_VOICED_LABIODENTAL_FRICATIVE,1,S_SVO,0
INV_VOICED_BILABIAL_PLOSIVE_WITH_VOICED_LABIODENTAL_FRICATIVE,2,S_SPECIAL_RECIP_CONSTR,0
INV_VOICED_BILABIAL_PLOSIVE_WITH_VOICED_LABIODENTAL_FRICATIVE,3,S_TYPICAL_PASSIVE_CONSTRUCTION,0
INV_VOICED_BILABIAL_PLOSIVE_WITH_VOICED_LABIODENTAL_FRICATIVE,4,S_APPLICATIVE_CONSTRUCTION,0
INV_VOICED_BILABIAL_PLOSIVE_WITH_VOICED_LABIODENTAL_FRICATIVE,5,S_SUBJECT_RELATIVE_ZERO,0
INV_VOICED_BILABIAL_PLOSIVE_WITH_VOICED_BILABIAL_FRICATIVE,1,S_SVO,0
INV_VOICED_BILABIAL_PLOSIVE_WITH_VOICED_BILABIAL_FRICATIVE,2,S_SPECIAL_RECIP_CONSTR,0
INV_VOICED_BILABIAL_PLOSIVE_WITH_VOICED_BILABIAL_FRICATIVE,3,S_TYPICAL_PASSIVE_CONSTRUCTION,0
INV_VOICED_BILABIAL_PLOSIVE_WITH_VOICED_BILABIAL_FRICATIVE,4,S_APPLICATIVE_CONSTRUCTION,0
INV_VOICED_BILABIAL_PLOSIVE_WITH_VOICED_BILABIAL_FRICATIVE,5,S_SUBJECT_RELATIVE_ZERO,0
INV_VOICELESS_PALATAL_PLOSIVE,1,INV_PLACE_PALATALIZED_VELAR,0.1875
INV_VOICELESS_PALATAL_PLOSIVE,2,P_BILABIALS,0.1875
INV_VOICELESS_PALATAL_PLOSIVE,3,INV_PLACE_PALATAL,0.1574999988079071
INV_VOICELESS_PALATAL_PLOSIVE,4,INV_PLACE_LABIAL,0.1339285671710968
INV_VOICELESS_PALATAL_PLOSIVE,5,INV_VOICELESS_ALVEOLAR_PLOSIVE,0.12228260934352875
INV_VOICELESS_PALATAL_PLOSIVE_WITH_VOICELESS_PALATAL_FRICATIVE,1,P_VOICE,0.140625
INV_VOICELESS_PALATAL_PLOSIVE_WITH_VOICELESS_PALATAL_FRICATIVE,2,P_LATERAL_L,0.11249999701976776
INV_VOICELESS_PALATAL_PLOSIVE_WITH_VOICELESS_PALATAL_FRICATIVE,3,P_LATERALS,0.11249999701976776
INV_VOICELESS_PALATAL_PLOSIVE_WITH_VOICELESS_PALATAL_FRICATIVE,4,P_NASALS,0.11249999701976776
INV_VOICELESS_PALATAL_PLOSIVE_WITH_VOICELESS_PALATAL_FRICATIVE,5,P_FRICATIVES,0.11249999701976776
INV_VOICED_ALVEOLAR_PLOSIVE,1,INV_VOICED_ALVEOLAR_LATERAL_FRICATIVE,0.140625
INV_VOICED_ALVEOLAR_PLOSIVE,2,P_CLICKS,0.11249999701976776
INV_VOICED_ALVEOLAR_PLOSIVE,3,INV_PLACE_LABIAL,0.10227272659540176
INV_VOICED_ALVEOLAR_PLOSIVE,4,INV_PLACE_NON_LOW_UNROUNDED,0.099264704
INV_VOICED_ALVEOLAR_PLOSIVE,5,INV_OBS_VD_VLESS,0.086538464
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_DENTAL_FRICATIVE,1,S_SVO,0
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_DENTAL_FRICATIVE,2,S_SPECIAL_RECIP_CONSTR,0
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_DENTAL_FRICATIVE,3,S_TYPICAL_PASSIVE_CONSTRUCTION,0
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_DENTAL_FRICATIVE,4,S_APPLICATIVE_CONSTRUCTION,0
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_DENTAL_FRICATIVE,5,S_SUBJECT_RELATIVE_ZERO,0
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_ALVEOLAR_LATERAL_FRICATIVE,1,P_VOICE,0.140625
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_ALVEOLAR_LATERAL_FRICATIVE,2,P_LABIAL_VELARS,0.11249999701976776
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_ALVEOLAR_LATERAL_FRICATIVE,3,P_NASALS,0.11249999701976776
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_ALVEOLAR_LATERAL_FRICATIVE,4,P_FRICATIVES,0.11249999701976776
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_ALVEOLAR_LATERAL_FRICATIVE,5,P_EJECTIVES,0.11249999701976776
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_ALVEOPALATAL_FRICATIVE,1,P_VOICE,0.140625
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_ALVEOPALATAL_FRICATIVE,2,P_FRICATIVES,0.11249999701976776
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_ALVEOPALATAL_FRICATIVE,3,P_VOICED_PLOSIVES,0.11249999701976776
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_ALVEOPALATAL_FRICATIVE,4,P_NASALS,0.11249999701976776
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_ALVEOPALATAL_FRICATIVE,5,P_LABIAL_VELARS,0.11249999701976776
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_POSTALVEOLAR_FRICATIVE,1,P_VOICE,0.140625
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_POSTALVEOLAR_FRICATIVE,2,P_NASALS,0.11249999701976776
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_POSTALVEOLAR_FRICATIVE,3,P_FRICATIVES,0.11249999701976776
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_POSTALVEOLAR_FRICATIVE,4,P_BILABIALS,0.11249999701976776
INV_VOICED_ALVEOLAR_PLOSIVE_WITH_VOICED_POSTALVEOLAR_FRICATIVE,5,INV_VOICED_RETROFLEX_PLOSIVE_WITH_VOICED_RETROFLEX_FRICATIVE,0.056249999
INV_CLOSE_MID_FRONT_UNROUNDED_VOWEL,1,P_FRONT_ROUND_VOWELS,0.1875
INV_CLOSE_MID_FRONT_UNROUNDED_VOWEL,2,INV_VOICED_VELAR_IMPLOSIVE,0.1574999988079071
INV_CLOSE_MID_FRONT_UNROUNDED_VOWEL,3,P_CLICKS,0.11249999701976776
INV_CLOSE_MID_FRONT_UNROUNDED_VOWEL,4,INV_CLOSE_CENTRAL_ROUNDED_VOWEL,0.11249999701976776
INV_CLOSE_MID_FRONT_UNROUNDED_VOWEL,5,INV_CLOSE_MID_FRONT_ROUNDED_VOWEL,0.1041666641831398
INV_VOICELESS_LABIODENTAL_FRICATIVE,1,S_POSSESSIVE_HEADMARK,0.1875
INV_VOICELESS_LABIODENTAL_FRICATIVE,2,P_NASALS,0.1875
INV_VOICELESS_LABIODENTAL_FRICATIVE,3,S_S-LIKE_COMITATIVE_POSSESS,0.1875
INV_VOICELESS_LABIODENTAL_FRICATIVE,4,S_POLARQ_MARK_INITIAL,0.1875
INV_VOICELESS_LABIODENTAL_FRICATIVE,5,INV_VOWEL_HEIGHT_5,0.1875
INV_VOICELESS_GLOTTAL_FRICATIVE,1,S_PROCONJ_SING,0.1875
INV_VOICELESS_GLOTTAL_FRICATIVE,2,S_POSSESSIVE_SUFFIX,0.1875
INV_VOICELESS_GLOTTAL_FRICATIVE,3,INV_VOWEL_HEIGHT_5,0.1875
INV_VOICELESS_GLOTTAL_FRICATIVE,4,S_VRT,0.1875
INV_VOICELESS_GLOTTAL_FRICATIVE,5,P_FRICATIVES,0.1875
INV_CLOSE_FRONT_UNROUNDED_VOWEL,1,P_PHARYNGEALS,0.1875
INV_CLOSE_FRONT_UNROUNDED_VOWEL,2,INV_VOICED_VELAR_IMPLOSIVE,0.1875
INV_CLOSE_FRONT_UNROUNDED_VOWEL,3,INV_VOICED_PALATAL_FRICATIVE,0.17119565606117249
INV_CLOSE_FRONT_UNROUNDED_VOWEL,4,INV_VOICED_PHARYNGEAL_FRICATIVE,0.17119565606117249
INV_CLOSE_FRONT_UNROUNDED_VOWEL,5,INV_VELAR_APPROXIMANT,0.17119565606117249
INV_PALATAL_APPROXIMANT,1,INV_VOICED_VELAR_IMPLOSIVE,0.1875
INV_PALATAL_APPROXIMANT,2,P_GLOTTALIZED_RESONANTS,0.1875
INV_PALATAL_APPROXIMANT,3,INV_PLACE_PALATALIZED_VELAR,0.1875
INV_PALATAL_APPROXIMANT,4,INV_PLACE_PALATAL,0.1574999988079071
INV_PALATAL_APPROXIMANT,5,INV_PLACE_PALATALIZED_LAB,0.15340909361839294
INV_VOICELESS_VELAR_PLOSIVE,1,P_UVULAR_CONTINUANTS,0.1875
INV_VOICELESS_VELAR_PLOSIVE,2,P_PHARYNGEALS,0.1875
INV_VOICELESS_VELAR_PLOSIVE,3,P_UVULAR_STOPS,0.1875
INV_VOICELESS_VELAR_PLOSIVE,4,P_UVULARS,0.1875
INV_VOICELESS_VELAR_PLOSIVE,5,P_GLOTTALIZED_RESONANTS,0.1875
INV_VOICELESS_VELAR_PLOSIVE_WITH_VOICELESS_BILABIAL_PLOSIVE,1,P_VOICE,0.140625
INV_VOICELESS_VELAR_PLOSIVE_WITH_VOICELESS_BILABIAL_PLOSIVE,2,P_BILABIALS,0.11249999701976776
INV_VOICELESS_VELAR_PLOSIVE_WITH_VOICELESS_BILABIAL_PLOSIVE,3,P_VOICED_PLOSIVES,0.11249999701976776
INV_VOICELESS_VELAR_PLOSIVE_WITH_VOICELESS_BILABIAL_PLOSIVE,4,P_FRICATIVES,0.11249999701976776
INV_VOICELESS_VELAR_PLOSIVE_WITH_VOICELESS_BILABIAL_PLOSIVE,5,P_NASALS,0.11249999701976776
INV_VOICELESS_VELAR_PLOSIVE_WITH_VOICELESS_VELAR_FRICATIVE,1,P_VOICE,0.140625
INV_VOICELESS_VELAR_PLOSIVE_WITH_VOICELESS_VELAR_FRICATIVE,2,P_LATERAL_L,0.11249999701976776
INV_VOICELESS_VELAR_PLOSIVE_WITH_VOICELESS_VELAR_FRICATIVE,3,P_VOICED_PLOSIVES,0.11249999701976776
INV_VOICELESS_VELAR_PLOSIVE_WITH_VOICELESS_VELAR_FRICATIVE,4,P_FRONT_ROUND_VOWELS,0.11249999701976776
INV_VOICELESS_VELAR_PLOSIVE_WITH_VOICELESS_VELAR_FRICATIVE,5,P_BILABIALS,0.11249999701976776
INV_ALVEOLAR_LATERAL_APPROXIMANT,1,P_PHARYNGEALS,0.1875
INV_ALVEOLAR_LATERAL_APPROXIMANT,2,P_BILABIALS,0.1875
INV_ALVEOLAR_LATERAL_APPROXIMANT,3,INV_CLOSE_MID_CENTRAL_ROUNDED_VOWEL,0.140625
INV_ALVEOLAR_LATERAL_APPROXIMANT,4,INV_VOICED_UVULAR_PLOSIVE,0.11249999701976776
INV_ALVEOLAR_LATERAL_APPROXIMANT,5,INV_VOICED_PHARYNGEAL_FRICATIVE,0.11249999701976776
INV_BILABIAL_NASAL,1,INV_PLACE_PALATALIZED_LAB,0.1875
INV_BILABIAL_NASAL,2,INV_VOICED_VELAR_IMPLOSIVE,0.1875
INV_BILABIAL_NASAL,3,P_PHARYNGEALS,0.1875
INV_BILABIAL_NASAL,4,P_FRONT_ROUND_VOWELS,0.1875
INV_BILABIAL_NASAL,5,INV_CLOSE_MID_FRONT_ROUNDED_VOWEL,0.1875
INV_ALVEOLAR_NASAL,1,P_UVULAR_CONTINUANTS,0.1875
INV_ALVEOLAR_NASAL,2,P_UVULARS,0.1875
INV_ALVEOLAR_NASAL,3,P_GLOTTALIZED_RESONANTS,0.1875
INV_ALVEOLAR_NASAL,4,P_FRONT_ROUND_VOWELS,0.1875
INV_ALVEOLAR_NASAL,5,P_UVULAR_STOPS,0.1875
INV_CLOSE_MID_BACK_UNROUNDED_VOWEL,1,INV_VOICELESS_ALVEOLAR_PLOSIVE,0.1607142835855484
INV_CLOSE_MID_BACK_UNROUNDED_VOWEL,2,INV_VOICELESS_VELAR_PLOSIVE,0.15340909361839294
INV_CLOSE_MID_BACK_UNROUNDED_VOWEL,3,INV_CLOSE_FRONT_UNROUNDED_VOWEL,0.11249999701976776
INV_CLOSE_MID_BACK_UNROUNDED_VOWEL,4,P_VOICE,0.11249999701976776
INV_CLOSE_MID_BACK_UNROUNDED_VOWEL,5,INV_PLACE_ALVEOLAR,0.1071428582072258
INV_VOICELESS_BILABIAL_PLOSIVE,1,INV_CLOSE_CLOSE_MID_HIGH_FRONT_ROUNDED_VOWEL,0.15625
INV_VOICELESS_BILABIAL_PLOSIVE,2,INV_VOICELESS_RETROFLEX_FRICATIVE,0.15340909361839294
INV_VOICELESS_BILABIAL_PLOSIVE,3,INV_VOW_VD_VLESS,0.140625
INV_VOICELESS_BILABIAL_PLOSIVE,4,INV_VOICED_VELAR_IMPLOSIVE,0.140625
INV_VOICELESS_BILABIAL_PLOSIVE,5,INV_CLOSE_MID_FRONT_ROUNDED_VOWEL,0.140625
INV_VOICELESS_BILABIAL_PLOSIVE_WITH_VOICELESS_LABIODENTAL_FRICATIVE,1,S_SVO,0
INV_VOICELESS_BILABIAL_PLOSIVE_WITH_VOICELESS_LABIODENTAL_FRICATIVE,2,S_SPECIAL_RECIP_CONSTR,0
INV_VOICELESS_BILABIAL_PLOSIVE_WITH_VOICELESS_LABIODENTAL_FRICATIVE,3,S_TYPICAL_PASSIVE_CONSTRUCTION,0
INV_VOICELESS_BILABIAL_PLOSIVE_WITH_VOICELESS_LABIODENTAL_FRICATIVE,4,S_APPLICATIVE_CONSTRUCTION,0
